access_gap_rank,risk_rank,county,region,rural_urban_category,population,total_facilities,facilities_per_100k,clinics_per_100k,hospitals_per_100k,healthcare_access_score,er_dependence_risk_score,access_gap_score,risk_level,risk_driver_summary,access_story,priority_recommendation
1,1,Kern,San Joaquin Valley,Large Metro,917000,289,31.52,10.03,1.74,22.9,79.1,78.0,High,"higher uninsured rate, higher poverty rate, low clinic access, higher modeled ER use",High risk with limited primary care availability relative to population.,"Prioritize primary care access, insurance outreach, and avoidable ER-use reduction."
2,2,Tulare,San Joaquin Valley,Small Metro,477000,169,35.43,19.08,1.05,23.6,77.9,77.1,High,"higher uninsured rate, higher poverty rate, low hospital access, higher modeled ER use",High modeled ER dependence risk despite some visible facility access points.,"Prioritize affordability, care navigation, and high-utilization prevention."
3,3,Fresno,San Joaquin Valley,Large Metro,1016000,375,36.91,12.7,1.18,27.9,70.0,71.2,High,"higher uninsured rate, higher poverty rate, low clinic access",High risk with limited primary care availability relative to population.,"Prioritize primary care access, insurance outreach, and avoidable ER-use reduction."
4,4,Merced,San Joaquin Valley,Small Metro,287000,83,28.92,11.5,0.7,25.5,66.8,71.0,High,"higher uninsured rate, higher poverty rate, low clinic access, low hospital access, higher modeled ER use",High risk with limited primary care availability relative to population.,"Prioritize primary care access, insurance outreach, and avoidable ER-use reduction."
5,5,Tehama,Northern Sacramento Valley,Rural,66000,19,28.79,16.67,1.52,30.9,62.1,66.0,Moderate,"higher uninsured rate, higher poverty rate, higher modeled ER use",Moderate access profile; monitor affordability and service mix indicators.,Maintain access strengths and monitor changes over time.
6,6,Kings,San Joaquin Valley,Small Metro,153000,47,30.72,20.26,0.65,32.4,59.7,64.0,Moderate,"higher uninsured rate, low hospital access, higher modeled ER use",Moderate access profile; monitor affordability and service mix indicators.,Monitor hospital/ED availability and referral pathways.
7,8,Yuba,Northern Sacramento Valley,Small Metro,84000,23,27.38,17.86,1.19,40.9,47.6,53.9,Moderate,"higher poverty rate, higher modeled ER use",Moderate access profile; monitor affordability and service mix indicators.,Maintain access strengths and monitor changes over time.
8,7,Stanislaus,San Joaquin Valley,Large Metro,552000,152,27.54,10.87,1.45,42.4,48.8,53.6,Moderate,low clinic access,Primary care availability is a key access watchpoint.,Strengthen clinic capacity and preventive-care access.
9,10,Sutter,Northern Sacramento Valley,Small Metro,99000,34,34.34,11.11,1.01,44.3,43.2,50.1,Low,"low clinic access, low hospital access",Primary care availability is a key access watchpoint.,Monitor hospital/ED availability and referral pathways.
10,12,San Joaquin,San Joaquin Valley,Large Metro,793000,212,26.73,8.7,1.13,47.6,42.4,47.9,Low,"low clinic access, low hospital access",Primary care availability is a key access watchpoint.,Monitor hospital/ED availability and referral pathways.
11,13,Sacramento,Sacramento Metro,Large Metro,1589000,362,22.78,4.72,1.07,46.7,40.9,47.7,Low,"low clinic access, low hospital access",Primary care availability is a key access watchpoint.,Monitor hospital/ED availability and referral pathways.
12,9,Glenn,Northern Sacramento Valley,Rural,29000,12,41.38,34.48,0.0,52.0,45.9,47.1,Moderate,"higher uninsured rate, low hospital access",Moderate access profile; monitor affordability and service mix indicators.,Monitor hospital/ED availability and referral pathways.
13,11,Shasta,Northern Sacramento Valley,Small Metro,181000,82,45.3,16.02,2.76,50.2,42.9,46.7,Low,higher modeled ER use,Moderate access profile; monitor affordability and service mix indicators.,Maintain access strengths and monitor changes over time.
14,14,Madera,San Joaquin Valley,Small Metro,160000,59,36.88,20.0,2.5,49.5,39.4,45.5,Low,higher uninsured rate,Moderate access profile; monitor affordability and service mix indicators.,Maintain access strengths and monitor changes over time.
15,16,Butte,Northern Sacramento Valley,Small Metro,208309,85,40.8,19.68,1.92,49.0,32.9,42.9,Low,higher poverty rate,Moderate access profile; monitor affordability and service mix indicators.,Maintain access strengths and monitor changes over time.
16,15,Yolo,Sacramento Metro,Small Metro,221000,46,20.81,9.95,1.36,52.9,37.1,42.6,Low,low clinic access,Primary care availability is a key access watchpoint.,Strengthen clinic capacity and preventive-care access.
17,17,Colusa,Northern Sacramento Valley,Rural,22000,11,50.0,31.82,4.55,78.0,28.2,24.8,Low,higher uninsured rate,Stronger modeled access profile compared with other project counties.,Maintain access strengths and monitor changes over time.
